Month,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
198509,-5.9831,-4.2063,-6.9757,-3.0425,-3.8037,-6.2216
198510,0.4577,2.1836,1.6666,3.72,5.468,5.2835
198511,4.2008,5.5246,5.7943,6.2424,6.533,8.0761
198512,0.4578,3.5446,3.6517,3.9685,4.4143,4.1946
198601,5.548,2.9277,4.3455,0.904,2.1848,1.8265
198602,4.5917,6.4023,5.9889,5.8173,8.6883,8.1619
198603,5.7875,5.1126,4.3405,5.7862,5.7169,5.5787
198604,1.5432,1.8999,1.7932,-1.0588,-1.7024,0.1647
198605,2.7396,3.6816,3.3611,5.2872,5.4893,5.0977
198606,1.0236,1.4297,-0.4528,0.1914,2.5985,-0.2285
198607,-7.742,-6.1676,-9.5346,-7.7926,-4.6583,-6.9249
198608,1.2103,2.2395,0.6605,10.2902,7.0071,5.4754
198609,-5.0071,-4.7349,-7.356,-3.6931,-8.282,-8.5842
198610,1.7608,3.0059,2.2551,5.5043,5.2386,5.3963
198611,-0.6502,-0.2477,-1.1576,1.56,1.0878,0.3242
198612,-3.1802,-2.8522,-4.1829,-3.2205,-2.8792,-2.8443
198701,12.9549,10.2244,11.6818,13.4111,11.8373,13.0025
198702,9.399,6.9634,7.82,4.9428,4.2935,7.5487
198703,5.7962,2.2625,3.0504,3.8536,0.9325,-0.1255
198704,-0.2329,-2.4587,-2.8552,0.2214,-2.8305,-3.4512
198705,2.2562,0.2024,-0.3352,1.3493,0.0062,0.6276
198706,2.1839,3.0556,2.154,4.88,5.0782,4.2204
198707,5.7633,3.0111,2.1566,6.5613,4.0323,4.1223
198708,-0.351,2.8327,1.8158,2.097,3.6156,4.224
198709,-0.294,-0.9467,-2.1758,-0.6191,-1.8313,-2.9792
198710,-28.2609,-26.807,-32.0268,-25.0386,-21.3981,-25.904
198711,-5.6173,-2.8694,-7.7435,-5.6561,-5.7023,-6.5221
198712,0.927,4.4337,3.3331,7.7695,7.4269,10.5468
198801,9.2526,6.9097,8.1993,4.5219,5.9026,4.9281
198802,6.6663,7.2594,6.8038,8.2585,5.646,7.8912
198803,5.1715,4.9529,4.1093,0.4435,-0.7958,-0.6835
198804,2.8814,1.2335,1.2706,0.9574,0.4405,-0.4568
198805,-0.9356,-2.0647,-2.9185,0.6041,0.6778,-0.6556
198806,3.8594,6.2739,5.6752,4.5362,6.0965,7.6532
198807,0.6584,0.0299,-0.5199,-1.3696,-1.2839,-2.5292
198808,-1.7374,-1.7175,-3.3702,-1.3018,-1.763,-3.3372
198809,0.9994,3.4348,1.7654,2.4455,3.9829,4.0478
198810,-1.9058,-1.5338,-2.3128,1.1918,1.3965,0.0711
198811,-4.4707,-3.4934,-5.5559,-2.0695,-2.2363,-2.4408
198812,2.8697,3.2524,2.4065,1.9022,2.2756,3.0374
198901,8.555,5.2534,6.4599,7.3717,5.3574,7.0167
198902,0.6392,1.2853,0.2073,-0.0645,-0.7081,-0.6563
198903,2.7418,2.3426,1.7593,1.5298,1.6241,1.0341
198904,3.1859,3.1881,3.3504,4.9803,4.7457,5.4587
198905,3.1454,3.0455,2.518,4.7974,4.4642,4.1148
198906,-0.9251,-0.7902,-2.311,0.2572,0.0076,-1.8106
198907,1.4816,2.8381,2.687,7.632,6.951,7.0004
198908,1.0705,1.9532,1.4916,3.1369,2.6259,3.8099
198909,0.9338,0.0079,0.5205,-1.3888,-0.6103,-0.7356
198910,-5.6625,-4.8523,-5.4077,-4.0104,-4.104,-4.3411
198911,-2.2271,-1.3512,-0.8411,2.3508,1.4167,0.4369
198912,-2.0158,0.0135,-1.8735,3.2298,1.383,0.8714
199001,-1.615,-6.1756,-6.9698,-7.0864,-7.8148,-8.0069
199002,2.5679,1.6189,1.9243,1.8201,1.7258,2.2206
199003,3.5984,2.7379,2.7963,1.7304,1.7018,3.207
199004,-2.2811,-1.8174,-1.9027,-5.1668,-4.2866,-3.4825
199005,3.9818,3.905,5.4712,8.1674,8.3539,10.5631
199006,1.6958,0.9672,0.5207,-1.5127,-0.7109,-1.3147
199007,-2.2137,-2.595,-3.9199,-1.4199,-1.7225,-3.4834
199008,-10.7483,-11.382,-13.8664,-9.2076,-9.8222,-11.8257
199009,-7.1104,-7.6215,-9.5679,-6.0086,-5.7845,-9.2407
199010,-6.9611,-4.8595,-7.0984,-3.6736,-1.6768,-3.8463
199011,1.3951,3.2879,5.2398,7.3713,9.0261,11.8366
199012,-2.1347,1.1383,-0.4197,3.883,3.6959,5.7654
199101,11.1323,9.102,10.2922,4.6583,5.9569,9.1048
199102,17.0885,12.5123,14.1871,8.9126,7.9904,9.3032
199103,11.2284,6.7847,9.4714,2.4632,3.4726,4.1995
199104,5.4632,2.4584,2.908,0.8766,0.5346,0.9384
199105,3.1274,2.8409,2.9449,3.3211,4.5094,5.0716
199106,-3.1981,-2.0544,-4.5177,-4.1604,-4.1773,-5.4747
199107,3.1721,3.5218,2.9474,4.9886,4.1948,5.6796
199108,4.3291,2.353,3.0569,2.8485,2.537,3.503
199109,1.8918,-0.4929,1.718,-1.6697,-0.5262,-1.1144
199110,3.6516,1.8304,2.4708,2.2212,1.5291,2.0257
199111,-1.2566,-2.9799,-2.8393,-4.6449,-4.2623,-3.2131
199112,0.5655,4.655,3.8522,10.2449,9.4511,12.5413
199201,26.7245,14.2112,14.5732,4.9259,0.9572,1.282
199202,8.6092,5.381,4.7135,4.8059,2.1842,1.2116
199203,0.4651,0.3754,-3.0272,-1.5459,-1.7999,-3.3802
199204,-4.6799,-3.383,-5.7199,1.0788,1.8092,-1.0739
199205,0.5056,0.4929,-0.0645,0.2716,1.1644,0.9126
