Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
198511,3.9665,5.8569,6.9054,7.3551,6.8271,7.248
198512,1.9467,3.5819,3.4436,3.3295,4.2096,4.7779
198601,5.2006,2.4235,3.644,3.9732,1.2801,0.9823
198602,5.3612,6.1805,6.9126,7.5455,7.362,8.8833
198603,4.509,5.0144,4.9575,4.741,4.9599,6.8148
198604,1.6526,1.5479,2.5615,-3.5555,-0.5861,0.3217
198605,2.6642,3.9971,3.5814,3.6177,4.9396,6.6388
198606,0.4783,0.595,0.1977,-0.4318,1.634,1.7034
198607,-8.2909,-7.9037,-9.1666,-6.1944,-5.0705,-7.1477
198608,0.4801,2.4252,1.0971,9.0866,7.6228,5.6109
198609,-5.4539,-5.7955,-7.0744,-7.2326,-6.8561,-8.2886
198610,1.9697,2.1348,3.4712,4.7725,5.5944,5.6393
198611,-1.6307,0.2608,-0.7713,0.3228,0.8183,1.2303
198612,-4.4562,-2.5504,-3.7883,-3.0681,-3.0551,-2.7743
198701,11.1816,10.9806,12.2923,12.6256,12.4535,12.5097
198702,9.563,6.1481,8.089,6.4639,4.3164,6.5795
198703,5.2119,3.3039,1.8764,0.1429,1.2557,1.5066
198704,-0.5931,-2.8845,-2.9678,-1.3854,-2.3235,-3.3137
198705,0.9725,0.5206,-0.3773,0.4507,0.1413,0.6642
198706,1.9977,3.1599,2.5478,3.614,4.2945,5.6075
198707,3.8332,3.7053,2.7626,6.2773,4.0696,3.9974
198708,0.0777,2.2964,2.804,2.5881,3.1077,4.446
198709,-1.5275,-1.006,-1.2201,-1.061,-1.7827,-2.7417
198710,-30.1391,-27.2846,-30.0831,-25.474,-21.9968,-24.697
198711,-6.2947,-3.7408,-6.4439,-4.4233,-5.4009,-7.0612
198712,0.4502,5.937,4.275,6.3539,8.5979,9.6574
198801,9.6824,6.0754,6.3944,5.8233,5.1584,5.1142
198802,5.4573,8.5646,8.2777,5.2411,7.054,7.6118
198803,4.6129,4.2911,5.3804,-0.0612,-0.4129,-0.7883
198804,1.956,1.9661,1.304,-0.3302,0.8989,-0.2801
198805,-2.0359,-1.4693,-1.9905,1.4198,0.0737,-0.3073
198806,4.1814,6.5688,6.0125,5.2466,6.0658,7.0263
198807,0.1528,-0.3461,0.0057,-1.0529,-1.7372,-1.9946
198808,-2.838,-1.6016,-1.9414,-1.0814,-1.7966,-2.7631
198809,1.0722,3.341,2.9316,2.5358,3.3376,4.7075
198810,-3.0299,-0.7416,-0.6136,-0.0528,1.545,0.8356
198811,-5.0432,-3.6828,-3.7614,-2.0695,-2.0868,-2.4083
198812,1.8955,3.2541,3.4528,2.094,2.231,2.9936
198901,8.0351,4.9956,4.9609,7.3645,5.6671,6.2388
198902,0.6215,0.8308,1.0538,-0.3491,-0.9472,-0.4289
198903,1.822,2.5789,2.4097,0.9568,1.5776,1.6703
198904,3.0068,3.3775,4.087,4.8578,4.8159,5.4523
198905,2.4821,3.6157,3.8044,4.5995,4.5104,4.1869
198906,-1.7414,-0.8939,-1.4555,-0.4772,0.1481,-1.4287
198907,1.4894,3.485,4.0051,5.7779,7.252,7.3511
198908,0.9524,1.5831,3.0944,2.4846,2.879,3.602
198909,0.7335,0.1742,0.6711,-0.5227,-1.3241,-0.1808
198910,-5.1928,-4.9531,-5.3079,-3.6337,-3.4688,-4.721
198911,-2.4066,0.0085,-0.2773,2.253,1.8851,0.1409
198912,-2.1672,-0.458,-0.3688,2.4602,2.3884,0.6694
199001,-3.7507,-6.6051,-7.9291,-7.6206,-7.5342,-7.625
199002,2.1089,2.376,2.41,1.4819,1.9072,1.8767
199003,3.181,3.4869,3.7296,1.1482,2.2201,2.8363
199004,-1.7884,-2.2497,-1.7828,-6.1339,-4.2623,-3.0761
199005,4.1018,5.1656,6.0185,9.1232,8.2757,9.886
199006,1.7829,1.2939,0.0888,-0.4063,-0.8719,-1.2877
199007,-2.3581,-3.23,-3.6833,-2.9727,-1.4676,-2.8663
199008,-11.5482,-11.917,-14.533,-10.1531,-9.8273,-11.0237
199009,-7.6015,-7.2096,-10.2914,-7.1591,-6.0189,-8.0546
199010,-6.9046,-5.432,-6.0708,-3.8089,-1.8924,-3.1903
199011,1.2896,5.2042,5.8594,10.1008,8.9502,10.0349
199012,-2.4023,1.5743,2.6995,2.9384,4.1401,5.2263
