Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
198105,2.8511,2.7455,4.8646,1.8415,0.6063,0.4207
198106,-1.755,-0.5768,-3.2643,0.6919,-1.3091,-0.6028
198107,-1.6325,-1.9765,-3.1742,-1.8512,-0.7763,1.8232
198108,-8.1093,-6.1384,-8.5953,-5.8813,-5.1739,-5.9253
198109,-9.8444,-6.803,-7.6582,-4.3833,-4.3746,-6.6149
198110,7.4772,6.9637,9.8778,2.8856,5.7838,7.0697
198111,0.9733,4.4483,2.9681,5.8489,4.0073,4.366
198112,-2.3469,-1.7839,-1.3659,-3.1859,-2.0949,-3.5229
198201,-3.256,-2.8365,-4.3276,-0.5005,-2.4517,-2.3084
198202,-3.8885,-3.5737,-5.4654,-1.0468,-4.9038,-6.3897
198203,-0.8595,0.0075,-1.4147,1.0223,-0.7207,-1.3902
198204,4.8823,5.2404,6.6615,3.7603,3.5557,5.2304
198205,-2.7301,-2.1921,-2.6568,-3.6343,-3.2026,-2.1672
198206,-3.0221,-2.1607,-2.3734,-0.9074,-2.3625,-1.7614
198207,-2.113,-1.5695,-0.747,-2.6686,-2.3296,-1.8429
198208,7.7924,8.2503,8.7048,15.3222,12.6564,10.5946
198209,2.5543,4.4505,4.5558,0.494,0.9936,2.7762
198210,14.1855,12.4478,15.3073,12.1534,10.9501,11.9594
198211,10.2262,8.5644,9.3018,5.7371,3.8336,5.176
198212,1.4217,0.847,1.2304,1.8204,0.6298,1.7163
198301,8.9448,7.1841,6.2057,2.8077,4.6309,2.664
198302,5.2954,5.7186,5.7418,4.6095,2.3098,2.799
198303,4.2883,4.9798,4.581,3.887,2.9927,3.5658
198304,8.3095,7.0876,8.0586,7.4699,7.0929,7.3224
198305,8.5259,5.4686,5.6727,1.1426,-0.8365,0.3215
198306,4.448,4.3325,4.9088,0.5618,3.9685,4.6794
198307,-4.1617,-1.3008,-2.6209,-2.0725,-3.4068,-3.9211
198308,-4.1667,-2.5489,-3.09,0.4669,1.9833,0.3878
198309,-0.8076,3.6216,1.9238,2.1174,1.6037,1.6794
198310,-6.7546,-4.3585,-6.9668,-0.8774,-1.9466,-2.1717
